id,Age,Gender,Education Level,Job Title,Years of Experience,job_title_descriptions,Seniority,Industy
0,32.0,Male,Bachelor's,Software Engineer,5.0,"['software', 'engineer']",Other,Engineering
1,28.0,Female,Master's,Data Analyst,3.0,"['data', 'analyst']",Other,Engineering
2,45.0,Male,PhD,Senior Manager,15.0,"['senior', 'manager']",Senior,Other
3,36.0,Female,Bachelor's,Sales Associate,7.0,"['sales', 'associate']",Semi Senior,Sales
4,52.0,Male,Master's,Director,20.0,['director'],Director/Executive,Other
5,29.0,Male,Bachelor's,Marketing Analyst,2.0,"['marketing', 'analyst']",Other,Marketing
6,42.0,Female,Master's,Product Manager,12.0,"['product', 'manager']",Senior,Other
7,31.0,Male,Bachelor's,Sales Manager,4.0,"['sales', 'manager']",Senior,Sales
8,26.0,Female,Bachelor's,Marketing Coordinator,1.0,"['marketing', 'coordinator']",Semi Senior,Marketing
9,38.0,Male,PhD,Senior Scientist,10.0,"['senior', 'scientist']",Senior,Other
10,29.0,Male,Master's,Software Developer,3.0,"['software', 'developer']",Other,Engineering
11,48.0,Female,Bachelor's,HR Manager,18.0,"['hr', 'manager']",Senior,HR
12,35.0,Male,Bachelor's,Financial Analyst,6.0,"['financial', 'analyst']",Other,Finance
13,40.0,Female,Master's,Project Manager,14.0,"['project', 'manager']",Senior,Operations
14,27.0,Male,Bachelor's,Customer Service Rep,2.0,"['customer', 'service', 'rep']",Other,Support
15,44.0,Male,Bachelor's,Operations Manager,16.0,"['operations', 'manager']",Senior,Operations
16,33.0,Female,Master's,Marketing Manager,7.0,"['marketing', 'manager']",Senior,Marketing
17,39.0,Male,PhD,Senior Engineer,12.0,"['senior', 'engineer']",Senior,Engineering
18,25.0,Female,Bachelor's,Data Entry Clerk,0.0,"['data', 'entry', 'clerk']",Junior,Engineering
19,51.0,Male,Bachelor's,Sales Director,22.0,"['sales', 'director']",Director/Executive,Sales
20,34.0,Female,Master's,Business Analyst,5.0,"['business', 'analyst']",Other,Sales
21,47.0,Male,Master's,VP of Operations,19.0,"['vp', 'operations']",Director/Executive,Operations
22,30.0,Male,Bachelor's,IT Support,2.0,['support'],Other,Support
23,36.0,Female,Bachelor's,Recruiter,9.0,['recruiter'],Other,HR
24,41.0,Male,Master's,Financial Manager,13.0,"['financial', 'manager']",Senior,Finance
25,28.0,Female,Bachelor's,Social Media Specialist,3.0,"['social', 'media', 'specialist']",Semi Senior,Marketing
26,37.0,Female,Master's,Software Manager,11.0,"['software', 'manager']",Senior,Engineering
27,24.0,Male,Bachelor's,Junior Developer,1.0,"['junior', 'developer']",Junior,Engineering
28,43.0,Female,PhD,Senior Consultant,15.0,"['senior', 'consultant']",Senior,Other
29,33.0,Male,Master's,Product Designer,6.0,"['product', 'designer']",Other,Design
30,50.0,Male,Bachelor's,CEO,25.0,['ceo'],Director/Executive,Other
31,31.0,Female,Bachelor's,Accountant,4.0,['accountant'],Other,Finance
32,29.0,Male,Master's,Data Scientist,3.0,"['data', 'scientist']",Other,Engineering
33,39.0,Female,Bachelor's,Marketing Specialist,10.0,"['marketing', 'specialist']",Semi Senior,Marketing
34,46.0,Male,PhD,Senior Manager,20.0,"['senior', 'manager']",Senior,Other
35,27.0,Male,Bachelor's,Technical Writer,2.0,"['technical', 'writer']",Other,Writing
36,35.0,Female,Bachelor's,HR Generalist,7.0,"['hr', 'generalist']",Other,HR
37,42.0,Male,Master's,Project Engineer,14.0,"['project', 'engineer']",Other,Engineering
38,26.0,Female,Bachelor's,Customer Success Rep,1.0,"['customer', 'success', 'rep']",Other,Sales
39,49.0,Male,Bachelor's,Sales Executive,21.0,"['sales', 'executive']",Semi Senior,Sales
40,34.0,Female,Master's,UX Designer,5.0,"['ux', 'designer']",Other,Design
41,48.0,Male,Master's,Operations Director,18.0,"['operations', 'director']",Director/Executive,Operations
42,30.0,Male,Bachelor's,Network Engineer,3.0,"['network', 'engineer']",Other,Engineering
43,36.0,Female,Bachelor's,Administrative Assistant,8.0,"['administrative', 'assistant']",Other,Other
44,41.0,Male,Master's,Strategy Consultant,13.0,"['strategy', 'consultant']",Other,Other
45,28.0,Female,Bachelor's,Copywriter,2.0,['copywriter'],Other,Writing
46,32.0,Male,Bachelor's,Account Manager,5.0,"['account', 'manager']",Senior,Sales
47,45.0,Female,Master's,Director of Marketing,16.0,"['director', 'marketing']",Director/Executive,Marketing
48,38.0,Male,PhD,Senior Scientist,11.0,"['senior', 'scientist']",Senior,Other
49,25.0,Male,Bachelor's,Help Desk Analyst,0.0,"['help', 'desk', 'analyst']",Other,Other
50,51.0,Female,Bachelor's,Customer Service Manager,22.0,"['customer', 'service', 'manager']",Senior,Support
51,33.0,Male,Master's,,7.0,[],Other,Other
52,40.0,Female,Bachelor's,Event Coordinator,12.0,"['event', 'coordinator']",Semi Senior,Other
53,47.0,Male,Master's,VP of Finance,19.0,"['vp', 'finance']",Director/Executive,Finance
54,29.0,Female,Bachelor's,Graphic Designer,3.0,"['graphic', 'designer']",Other,Design
55,36.0,Male,Bachelor's,Sales Manager,9.0,"['sales', 'manager']",Senior,Sales
56,27.0,Female,Master's,UX Researcher,2.0,"['ux', 'researcher']",Other,Design
57,43.0,Male,PhD,Senior Engineer,17.0,"['senior', 'engineer']",Senior,Engineering
58,30.0,Female,Bachelor's,Social Media Manager,4.0,"['social', 'media', 'manager']",Senior,Marketing
59,35.0,Male,Master's,Product Manager,7.0,"['product', 'manager']",Senior,Other
60,51.0,Female,Master's,,23.0,[],Other,Other
61,29.0,Male,Bachelor's,Marketing Analyst,3.0,"['marketing', 'analyst']",Other,Marketing
62,40.0,Female,Bachelor's,HR Manager,12.0,"['hr', 'manager']",Senior,HR
63,47.0,Male,PhD,Senior Data Scientist,21.0,"['senior', 'data', 'scientist']",Senior,Engineering
64,26.0,Male,Bachelor's,Junior Accountant,1.0,"['junior', 'accountant']",Junior,Finance
65,38.0,Female,Master's,Digital Marketing Manager,10.0,"['digital', 'marketing', 'manager']",Senior,Marketing
66,46.0,Male,Bachelor's,IT Manager,19.0,['manager'],Senior,Other
67,31.0,Female,Bachelor's,Customer Service Representative,5.0,"['customer', 'service', 'representative']",Other,Sales
68,34.0,Male,Master's,Business Development Manager,8.0,"['business', 'development', 'manager']",Senior,Sales
69,49.0,Female,Master's,Senior Financial Analyst,18.0,"['senior', 'financial', 'analyst']",Senior,Finance
70,33.0,Male,Bachelor's,Web Developer,6.0,"['web', 'developer']",Other,Engineering
71,39.0,Female,Bachelor's,Recruiter,11.0,['recruiter'],Other,HR
72,45.0,Male,PhD,Research Director,16.0,"['research', 'director']",Director/Executive,Other
73,28.0,Male,Bachelor's,Technical Support Specialist,2.0,"['technical', 'support', 'specialist']",Semi Senior,Support
74,42.0,Female,Master's,Creative Director,14.0,"['creative', 'director']",Director/Executive,Other
75,37.0,Male,Bachelor's,Project Manager,10.0,"['project', 'manager']",Senior,Operations
76,50.0,Female,Bachelor's,Operations Manager,22.0,"['operations', 'manager']",Senior,Operations
77,32.0,Male,Master's,Senior Software Engineer,6.0,"['senior', 'software', 'engineer']",Senior,Engineering
78,48.0,Female,Master's,Human Resources Director,20.0,"['human', 'resources', 'director']",Director/Executive,HR
79,30.0,Female,Bachelor's,Content Marketing Manager,3.0,"['content', 'marketing', 'manager']",Senior,Marketing
80,36.0,Male,Bachelor's,Technical Recruiter,8.0,"['technical', 'recruiter']",Other,HR
81,41.0,Female,Master's,Data Analyst,13.0,"['data', 'analyst']",Other,Engineering
82,25.0,Male,Bachelor's,Sales Representative,0.0,"['sales', 'representative']",Other,Sales
83,52.0,Male,PhD,Chief Technology Officer,24.0,"['chief', 'technology', 'officer']",Director/Executive,Other
84,29.0,Female,Bachelor's,Junior Designer,2.0,"['junior', 'designer']",Junior,Design
85,34.0,Female,Master's,Financial Advisor,10.0,"['financial', 'advisor']",Other,Finance
86,27.0,Male,Bachelor's,Junior Account Manager,2.0,"['junior', 'account', 'manager']",Junior,Sales
87,40.0,Female,Bachelor's,HR Generalist,15.0,"['hr', 'generalist']",Other,HR
88,46.0,Male,Master's,Senior Project Manager,21.0,"['senior', 'project', 'manager']",Senior,Operations
89,31.0,Female,Bachelor's,Marketing Coordinator,6.0,"['marketing', 'coordinator']",Semi Senior,Marketing
90,36.0,Male,PhD,Principal Scientist,11.0,"['principal', 'scientist']",Senior,Other
91,29.0,Female,Bachelor's,Sales Associate,3.0,"['sales', 'associate']",Semi Senior,Sales
92,43.0,Male,Bachelor's,Supply Chain Manager,18.0,"['supply', 'chain', 'manager']",Senior,Operations
93,52.0,Female,Master's,Senior Marketing Manager,25.0,"['senior', 'marketing', 'manager']",Senior,Marketing
94,33.0,Male,Bachelor's,Business Analyst,7.0,"['business', 'analyst']",Other,Sales
95,39.0,Female,Bachelor's,Training Specialist,12.0,"['training', 'specialist']",Semi Senior,Other
96,47.0,Male,PhD,Research Scientist,22.0,"['research', 'scientist']",Other,Other
97,26.0,Male,Bachelor's,Junior Software Developer,1.0,"['junior', 'software', 'developer']",Junior,Engineering
98,38.0,Female,Master's,Public Relations Manager,10.0,"['public', 'relations', 'manager']",Senior,Other
99,45.0,Male,Bachelor's,Operations Analyst,20.0,"['operations', 'analyst']",Other,Operations
100,31.0,Female,Bachelor's,Event Coordinator,5.0,"['event', 'coordinator']",Semi Senior,Other
101,35.0,Male,Master's,Product Marketing Manager,8.0,"['product', 'marketing', 'manager']",Senior,Marketing
102,49.0,Female,Master's,Senior HR Manager,19.0,"['senior', 'hr', 'manager']",Senior,HR
103,33.0,Male,Bachelor's,Junior Web Developer,5.0,"['junior', 'web', 'developer']",Junior,Engineering
104,39.0,Female,Master's,Senior Project Coordinator,13.0,"['senior', 'project', 'coordinator']",Senior,Operations
105,44.0,Male,PhD,Chief Data Officer,16.0,"['chief', 'data', 'officer']",Director/Executive,Engineering
106,30.0,Female,Bachelor's,Digital Content Producer,3.0,"['digital', 'content', 'producer']",Other,Marketing
107,36.0,Male,Bachelor's,IT Support Specialist,7.0,"['support', 'specialist']",Semi Senior,Support
108,41.0,Female,Master's,Senior Marketing Analyst,14.0,"['senior', 'marketing', 'analyst']",Senior,Marketing
109,28.0,Male,Bachelor's,Customer Success Manager,2.0,"['customer', 'success', 'manager']",Senior,Sales
110,42.0,Female,Master's,Senior Graphic Designer,15.0,"['senior', 'graphic', 'designer']",Senior,Design
111,37.0,Male,Bachelor's,Software Project Manager,9.0,"['software', 'project', 'manager']",Senior,Operations
112,50.0,Female,Bachelor's,Supply Chain Analyst,22.0,"['supply', 'chain', 'analyst']",Other,Operations
113,32.0,Male,Master's,Senior Business Analyst,6.0,"['senior', 'business', 'analyst']",Senior,Sales
114,23.0,Female,Bachelor's,Junior Marketing Analyst,0.5,"['junior', 'marketing', 'analyst']",Junior,Marketing
115,31.0,Male,Master's,Senior Financial Analyst,6.0,"['senior', 'financial', 'analyst']",Senior,Finance
116,40.0,Female,Bachelor's,Office Manager,15.0,"['office', 'manager']",Senior,Other
117,48.0,Male,PhD,Principal Engineer,20.0,"['principal', 'engineer']",Senior,Engineering
118,29.0,Female,Bachelor's,Junior HR Generalist,3.0,"['junior', 'hr', 'generalist']",Junior,HR
119,35.0,Male,Master's,Senior Product Manager,10.0,"['senior', 'product', 'manager']",Senior,Other
120,42.0,Female,Bachelor's,Sales Manager,17.0,"['sales', 'manager']",Senior,Sales
121,53.0,Male,Master's,Director of Marketing,25.0,"['director', 'marketing']",Director/Executive,Marketing
122,33.0,Female,Bachelor's,Junior Operations Analyst,5.0,"['junior', 'operations', 'analyst']",Junior,Operations
123,38.0,Male,Bachelor's,Customer Service Manager,11.0,"['customer', 'service', 'manager']",Senior,Support
124,44.0,Female,PhD,Senior Scientist,16.0,"['senior', 'scientist']",Senior,Other
125,26.0,Male,Bachelor's,Junior Accountant,2.0,"['junior', 'accountant']",Junior,Finance
126,37.0,Female,Master's,Senior HR Generalist,9.0,"['senior', 'hr', 'generalist']",Senior,HR
127,45.0,Male,Bachelor's,Sales Operations Manager,18.0,"['sales', 'operations', 'manager']",Senior,Operations
128,32.0,Female,Bachelor's,Marketing Coordinator,4.0,"['marketing', 'coordinator']",Semi Senior,Marketing
129,34.0,Male,Master's,Senior Software Developer,8.0,"['senior', 'software', 'developer']",Senior,Engineering
130,50.0,Female,Master's,Director of Operations,21.0,"['director', 'operations']",Director/Executive,Operations
131,29.0,Male,Bachelor's,Junior Web Designer,3.0,"['junior', 'web', 'designer']",Junior,Design
132,40.0,Female,Master's,Senior Training Specialist,12.0,"['senior', 'training', 'specialist']",Senior,Other
133,47.0,Male,PhD,Senior Research Scientist,22.0,"['senior', 'research', 'scientist']",Senior,Other
134,27.0,Male,Bachelor's,Junior Sales Representative,1.0,"['junior', 'sales', 'representative']",Junior,Sales
135,39.0,Female,Bachelor's,Administrative Assistant,10.0,"['administrative', 'assistant']",Other,Other
136,46.0,Male,Master's,Senior Project Manager,19.0,"['senior', 'project', 'manager']",Senior,Operations
137,30.0,Female,Bachelor's,Junior Marketing Manager,4.0,"['junior', 'marketing', 'manager']",Junior,Marketing
138,36.0,Male,Bachelor's,Junior Data Analyst,7.0,"['junior', 'data', 'analyst']",Junior,Engineering
139,43.0,Female,,Senior Product Marketing Manager,14.0,"['senior', 'product', 'marketing', 'manager']",Senior,Marketing
140,28.0,Male,Bachelor's,Junior Business Analyst,2.0,"['junior', 'business', 'analyst']",Junior,Sales
141,41.0,Female,Master's,Senior Marketing Manager,13.0,"['senior', 'marketing', 'manager']",Senior,Marketing
142,33.0,Male,Bachelor's,Junior Software Developer,5.0,"['junior', 'software', 'developer']",Junior,Engineering
143,47.0,Male,Bachelor's,Senior Sales Manager,20.0,"['senior', 'sales', 'manager']",Senior,Sales
